Address,BBL,BIN,BoroCD,Borough,CT2010,CouncilDistrict,Items_Accepted,Latitude,Longitude,NTAName,Nonprofit_Organization,Number,ObjectId,Operations_Type,Public_Email,Public_Phone,Street,Unit,Vendor_Name,Website,point,zipcode,Zip Codes,Community Districts,Borough Boundaries,City Council Districts,Police Precincts
118-1 Rockaway Blvd,4116620000,4251967,410,Queens,102,28,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.67657,-73.82006,South Ozone Park,FALSE,118-1,927,Publicly Accessible Donation Bins,info@helpsy.co��,877-382-7417,Rockaway Blvd,,Helpsy,https://www.helpsy.co/,POINT (-73.82006 40.676567999999996),11420,24016,62,3,46,64
81-15 164 St,4070240000,4438309,408,Queens,1265,24,"Clothing, Shoes, Coats, Accessories, Beddings And Linens, Towels, Rugs",40.72003,-73.80373,Pomonok-Flushing Heights-Hillcrest,TRUE,81-15,334,Nonprofit Organizations/Thrift Stores,info@queenscp.org,718-380-3000,164 St,,Queens Centers For Progress,https://www1.nyc.gov/assets/donate/giveandfind/residents/printvendorslist.shtml?Id=3457&BId=3434,POINT (-73.803736 40.72003300000001),11432,24340,25,3,24,65
1381 Atlantic Ave,3018680000,3397441,303,Brooklyn,247,36,"Clothing, Shoes, Accessories",40.67867,-73.94435,Crown Heights North,FALSE,1381,642,Publicly Accessible Donation Bins,�support@communityrecycling.biz,800-336-0141,Atlantic Ave,,Community Recycling LLC,https://www.communityrecycling.biz/,POINT (-73.944353 40.678665),11216,17618,69,2,49,51
1250 Shakespeare Ave,2025060000,2003085,204,Bronx,211,16,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.83846,-73.92287,Highbridge,FALSE,1250,1047,Publicly Accessible Donation Bins,info@helpsy.co��,877-382-7417,Shakespeare Ave,,Helpsy,https://www.helpsy.co/,POINT (-73.92287 40.838455),10452,10930,50,5,42,27
1320 Richmond Terrace,5001570000,5004367,501,Staten Island,97,49,"Clothing, Shoes, Coats",40.64246,-74.11406,West New Brighton-New Brighton-St. George,FALSE,1320,256,Publicly Accessible Donation Bins,N/A,631-225-5246,Richmond Terrace,,H&M Leasing Corp,https://www.handmleasing.org/,POINT (-74.114063 40.642458),10310,10697,4,1,13,74
129-19 Guy R Brewer Blvd,4124950000,4436356,412,Queens,33402,28,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.67738,-73.77821,Springfield Gardens North,FALSE,129-19,895,Publicly Accessible Donation Bins,info@helpsy.co��,877-382-7417,Guy R Brewer Blvd,,Helpsy,https://www.helpsy.co/,POINT (-73.778207 40.677381),11434,24669,41,3,46,71
3236 Boston Rd,2046140000,2056681,211,Bronx,348,12,"Clothing, Shoes",40.87207,-73.85473,Allerton-Pelham Gardens,FALSE,3236,524,Publicly Accessible Donation Bins,info@usagain.com,718-810-2527,Boston Rd,,Usagain LLC,http://www.usagain.com/,POINT (-73.854725 40.87206499999999),10469,11607,59,5,2,32
5402 Church Ave,3047020000,3103013,317,Brooklyn,938,41,"Clothing, Shoes, Coats, Other",40.65218,-73.92623,Rugby-Remsen Village,FALSE,5402,1093,Publicly Accessible Donation Bins,N/A,914-573-2266,Church Ave,,Standard Recycling Corp,N/A,POINT (-73.926233 40.652174),11203,16866,61,2,17,40
513 Flatbush Ave,3011980000,3029739,309,Brooklyn,327,40,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.66146,-73.96098,Prospect Lefferts Gardens-Wingate,FALSE,513,972,Publicly Accessible Donation Bins,info@helpsy.co��,877-382-7417,Flatbush Ave,,Helpsy,https://www.helpsy.co/,POINT (-73.960986 40.661457),11225,13509,17,2,11,44
8913 Ditmas Ave,3079140000,3221919,317,Brooklyn,930,45,"Clothing, Shoes",40.64808,-73.91534,Rugby-Remsen Village,FALSE,8913,484,Publicly Accessible Donation Bins,info@usagain.com,718-810-2527,Ditmas Ave,,Usagain LLC,http://www.usagain.com/,POINT (-73.915338 40.64808099999999),11236,13827,61,2,26,40
438 Ralph Ave,3013570000,3035970,308,Brooklyn,307,41,"Clothing, Shoes, Coats",40.67417,-73.92241,Crown Heights North,TRUE,438,225,Nonprofit Organizations/Thrift Stores,N/A,347-234-3828,Ralph Ave,,"God's Deliverance Temple, Inc",https://www1.nyc.gov/assets/donate/giveandfind/residents/printvendorslist.shtml?Id=3666&BId=3656,POINT (-73.922411 40.674170999999994),11233,13516,16,2,17,49
2529 86 St,0,0,311,Brooklyn,298,47,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.59747,-73.98643,Bensonhurst East,FALSE,2529,944,Publicly Accessible Donation Bins,info@helpsy.co��,877-382-7417,86 St,,Helpsy,https://www.helpsy.co/,POINT (-73.986435 40.59746499999998),11214,17616,1,2,45,37
139 Flatbush Ave,3020017000,3348849,302,Brooklyn,35,35,Shoes,40.68448,-73.97749,Fort Greene,FALSE,139,23,Retail Store Takeback Programs,CUSTOMERSERVICE@DSW.COM,(718) 789-6973,Flatbush Ave,,DSW,https://www.dsw.com/en/us/content/give-a-pair,POINT (-73.977482 40.68448399999998),11217,17619,68,2,48,50
151 W 28 St,1008040000,1015098,105,Manhattan,95,3,"Clothing, Shoes, Coats, Accessories, Bedding, Towels",40.74717,-73.99269,Midtown-Midtown South,FALSE,151,780,Publicly Accessible Donation Bins,�info@spingreen.com,800-584-0460,W 28 St,,"Spin Green, LLC",http://www.spingreen.com/,POINT (-73.99269000000001 40.747170999999994),10001,11722,11,4,10,7
447 Willis Ave,2023070000,2092117,201,Bronx,43,8,"Clothing, Shoes",40.81402,-73.91977,Mott Haven-Port Morris,FALSE,447,576,Publicly Accessible Donation Bins,info@usagain.com,718-810-2527,Willis Ave,,Usagain LLC,http://www.usagain.com/,POINT (-73.91977 40.814023),10455,10933,49,5,35,23
2317 Coney Island Ave,3073150000,3197870,315,Brooklyn,582,48,"Clothing, Shoes, Accessories",40.60036,-73.96103,Homecrest,FALSE,2317,652,Publicly Accessible Donation Bins,�support@communityrecycling.biz,800-336-0141,Coney Island Ave,,Community Recycling LLC,https://www.communityrecycling.biz/,POINT (-73.961032 40.60036),11223,18183,32,2,15,36
3139 Veterans Rd W,5075270000,5155332,503,Staten Island,226,51,Bedding And Linens,40.52792,-74.23785,Charleston-Richmond Valley-Tottenville,TRUE,3139,111,Nonprofit Organizations/Thrift Stores,info@nycacc.org,1-212-788-4000,Veterans Rd W,,Animal Care Centers of NYC,https://www1.nyc.gov/assets/donate/giveandfind/residents/printvendorslist.shtml?Id=3450&BId=3424,POINT (-74.237856 40.527919000000004),10309,10696,15,1,9,77
135-32 38 Ave,4049750000,4112307,407,Queens,871,20,"Clothing, Shoes, Coats",40.76048,-73.83146,Flushing,TRUE,135-32,1116,Nonprofit Organizations/Thrift Stores,N/A,917-880-5693,38 Ave,,La Jornada,https://www1.nyc.gov/assets/donate/giveandfind/residents/printvendorslist.shtml?Id=2026&BId=1983,POINT (-73.831461 40.760477),11354,13832,22,3,3,67
31-85 Whitestone Expy,4044040000,4100763,407,Queens,869,20,"Clothing, Shoes",40.76692,-73.83742,Flushing,FALSE,31-85,471,Publicly Accessible Donation Bins,info@usagain.com,718-810-2527,Whitestone Expy,,Usagain LLC,http://www.usagain.com/,POINT (-73.837419 40.76691799999999),11354,13832,22,3,3,67
435 E 238 St,2033920000,2019674,212,Bronx,45102,11,"Clothing, Shoes, Coats, Accessories",40.90017,-73.8638,Woodlawn-Wakefield,TRUE,435,360,Nonprofit Organizations/Thrift Stores,jalee@optonline.net,718-515-8627,E 238 St,,St. Stephen's Thrift Shop,https://www1.nyc.gov/assets/donate/giveandfind/residents/printvendorslist.shtml?Id=558&BId=528,POINT (-73.86379900000001 40.90017299999999),10470,11608,29,5,40,30
103 W25 St,1008010000,1085978,104,Manhattan,91,3,"Clothing, Shoes, Accessories, Coats, Bedding And Linens, Rugs, Other",40.74443,-73.99223,Hudson Yards-Chelsea-Flatiron-Union Square,TRUE,103,391,Nonprofit Organizations/Thrift Stores,info@goodwillnynj.org,718-728-5400,W25 St,,Goodwill Industries of Greater New York & Northern New Jersey,https://www1.nyc.gov/assets/donate/giveandfind/residents/printvendorslist.shtml?Id=10&BId=14,POINT (-73.992235 40.74443399999999),10001,11722,12,4,10,7
28 Caton Ave,3053230000,3124105,312,Brooklyn,498,39,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.64709,-73.98066,Kensington-Ocean Parkway,FALSE,28,957,Publicly Accessible Donation Bins,info@helpsy.co��,877-382-7417,Caton Ave,,Helpsy,https://www.helpsy.co/,POINT (-73.980656 40.64708599999999),11218,17620,2,2,27,39
314 E 9 St,1004500000,1006366,103,Manhattan,38,2,Contact store for details,40.72872,-73.98663,East Village,FALSE,314,157,Retail Store Takeback Programs,�onlinesupport@eileenfisher.com,212-529-5715,E 9 St,,Eileen Fisher,https://www.eileenfisher.com/renew,POINT (-73.986625 40.72871800000001),10003,11724,70,4,50,5
1065 Beach Ave,2037250000,2092801,209,Bronx,44,18,"Clothing, Shoes",40.82701,-73.86557,Soundview-Bruckner,FALSE,1065,519,Publicly Accessible Donation Bins,info@usagain.com,718-810-2527,Beach Ave,,Usagain LLC,http://www.usagain.com/,POINT (-73.865567 40.82701399999999),10472,11610,58,5,31,26
529 Empire Blvd,3013110000,3034654,309,Brooklyn,331,35,"Clothing, Shoes, Accessories, Bedding And Linens, Towels , Coats",40.66439,-73.94447,Crown Heights South,FALSE,529,596,Publicly Accessible Donation Bins,sales@americanrecyclingresources.com,732-796-8983,Empire Blvd,,American Recycling Resources,www.americanrecyclingresources.com/,POINT (-73.94446900000001 40.664391),11225,13509,17,2,48,44
1920 Mcdonald Ave,3066570000,3329207,311,Brooklyn,412,44,"Clothing, Shoes, Coats, Accessories, Bedding, Towels",40.60579,-73.97269,Bensonhurst East,FALSE,1920,748,Publicly Accessible Donation Bins,�info@spingreen.com,800-584-0460,Mcdonald Ave,,"Spin Green, LLC",http://www.spingreen.com/,POINT (-73.972683 40.60578800000001),11223,18183,1,2,18,37
6571 Broadway,2058721000,2085331,208,Bronx,343,11,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.90773,-73.89693,North Riverdale-Fieldston-Riverdale,FALSE,6571,1025,Publicly Accessible Donation Bins,info@helpsy.co��,877-382-7417,Broadway,,Helpsy,https://www.helpsy.co/,POINT (-73.896931 40.907730999999984),10471,11609,48,5,40,33
115 5 Ave,1008470000,1080756,105,Manhattan,52,2,Contact store for details,40.7389,-73.99123,Hudson Yards-Chelsea-Flatiron-Union Square,FALSE,115,130,Retail Store Takeback Programs,contactus@madewell.com,212-228-5172,5 Ave,,Madewell,https://www.madewell.com/inspo-do-well-denim-recycling-landing.html,POINT (-73.9912229 40.738903199999996),10003,11724,11,4,50,7
100 Park Ave,5010050000,5023730,501,Staten Island,207,49,"Clothing, Shoes, Coats, Accessories, Bedding, Towels",40.63803,-74.13214,Port Richmond,FALSE,100,682,Publicly Accessible Donation Bins,�info@spingreen.com,800-584-0460,Park Ave,,"Spin Green, LLC",http://www.spingreen.com/,POINT (-74.132139 40.638034999999995),10302,10370,4,1,13,75
423 Church Ave,3053370000,3124648,312,Brooklyn,496,39,"Clothing, Shoes, Coats, Accessories, Bedding, Towels",40.64444,-73.97591,Kensington-Ocean Parkway,FALSE,423,732,Publicly Accessible Donation Bins,�info@spingreen.com,800-584-0460,Church Ave,,"Spin Green, LLC",http://www.spingreen.com/,POINT (-73.975909 40.64444),11218,17620,2,2,27,39
1866 Westchester Ave,2037670000,2127614,209,Bronx,72,18,"Clothing, Shoes, Linens, Accessories",40.83262,-73.86288,Soundview-Bruckner,TRUE,1866,197,Textile Recycling at Farmers' Markets,recycle@grownyc.org,212-788-7969,Westchester Ave,,Parkchester Greenmarket: GrowNYC Clothing & Textile Recycling Collections,https://www1.nyc.gov/assets/donate/giveandfind/residents/printvendorslist.shtml?Id=89&BId=163,POINT (-73.86288 40.83261999999999),10472,11610,58,5,31,26
1600-1650 Bruckner Blvd,2036530000,2094831,209,Bronx,28,18,"Clothing, Shoes, Coats",40.82342,-73.87465,Soundview-Castle Hill-Clason Point-Harding Park,FALSE,1600-1650,276,Publicly Accessible Donation Bins,N/A,631-225-5246,Bruckner Blvd,,H&M Leasing Corp,https://www.handmleasing.org/,POINT (-73.874646 40.82341799999999),10473,11611,58,5,31,26
3559 White Plains Rd,2046430000,2057311,212,Bronx,378,12,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.87926,-73.86591,Williamsbridge-Olinville,FALSE,3559,1058,Publicly Accessible Donation Bins,info@helpsy.co��,877-382-7417,White Plains Rd,,Helpsy,https://www.helpsy.co/,POINT (-73.865903 40.87926299999999),10467,11605,29,5,2,30
181 Lexington Ave,3019680000,3056359,303,Brooklyn,233,36,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.68733,-73.95515,Bedford,FALSE,181,988,Publicly Accessible Donation Bins,info@helpsy.co��,877-382-7417,Lexington Ave,,Helpsy,https://www.helpsy.co/,POINT (-73.955155 40.687331),11216,17618,69,2,49,51
495 Broadway,1004840000,1007252,102,Manhattan,49,1,Denim only.,40.72215,-73.99985,SoHo-TriBeCa-Civic Center-Little Italy,FALSE,495,291,Retail Store Takeback Programs,N/A,646-613-1847,Broadway,,Levi Strauss,https://www.levi.com/US/en_US/blog/article/where-to-recycle-your-clothes/�,POINT (-73.99985 40.722149099999996),10012,12075,57,4,32,1
6500 Myrtle Ave,4036000000,4087218,405,Queens,577,30,"Clothing, Shoes, Coats, Accessories, Bedding, Towels",40.70095,-73.89026,Glendale,FALSE,6500,721,Publicly Accessible Donation Bins,�info@spingreen.com,800-584-0460,Myrtle Ave,,"Spin Green, LLC",http://www.spingreen.com/,POINT (-73.890259 40.700951999999994),11385,15310,54,3,34,62
3210 Webster Ave,2033570000,2018680,207,Bronx,42901,11,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.87426,-73.8736,Norwood,FALSE,3210,1053,Publicly Accessible Donation Bins,info@helpsy.co��,877-382-7417,Webster Ave,,Helpsy,https://www.helpsy.co/,POINT (-73.873597 40.874263),10467,11605,24,5,40,34
146-26 Northern Blvd,4050140000,4113425,407,Queens,1163,20,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.7649,-73.81963,Murray Hill,FALSE,146-26,18,Publicly Accessible Donation Bins,info@helpsy.co��,(718) 309-3206,Northern Blvd,,HELPSY,https://www.helpsy.co/,POINT (-73.8196281 40.76490529999999),11354,13832,22,3,3,67
195-20 99 Ave,4108420000,4231818,412,Queens,50201,27,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.71045,-73.76347,Hollis,FALSE,195-20,867,Publicly Accessible Donation Bins,info@helpsy.co��,877-382-7417,99 Ave,,Helpsy,https://www.helpsy.co/,POINT (-73.763474 40.710448),11423,24332,41,3,6,61
75-14 Jamaica Ave,4089040000,4183032,409,Queens,4,30,"Clothing, Shoes",40.69136,-73.86587,Woodhaven,FALSE,75-14,452,Publicly Accessible Donation Bins,info@usagain.com,718-810-2527,Jamaica Ave,,Usagain LLC,http://www.usagain.com/,POINT (-73.865866 40.69136400000001),11421,24017,46,3,34,60
510 5 Ave,1012580000,1034200,105,Manhattan,96,4,Contact store for details,40.75414,-73.98084,Midtown-Midtown South,FALSE,510,125,Retail Store Takeback Programs,N/A,212-221-1929,5 Ave,,The North Face,https://www.thenorthface.com/about-us/responsibility/product/clothes-the-loop.html,POINT (-73.980845 40.754134999999984),10036,10094,11,4,51,8
266 Sand Ln,5032840000,5048266,502,Staten Island,70,50,"Clothing, Shoes, Coats",40.593,-74.06867,Old Town-Dongan Hills-South Beach,FALSE,266,258,Publicly Accessible Donation Bins,N/A,631-225-5246,Sand Ln,,H&M Leasing Corp,https://www.handmleasing.org/,POINT (-74.068669 40.59300300000001),10305,10692,30,1,14,76
1811 Victor St,2040480000,2043445,211,Bronx,236,15,"Clothing, Shoes, Coats, Accessories, Beddings And Linens, Towels",40.84534,-73.8673,Van Nest-Morris Park-Westchester Square,TRUE,1811,376,Nonprofit Organizations/Thrift Stores,JSFOODPANTRY@GMAIL.COM,718-669-0217,Victor St,,"J&S CARING FOOD PANTRY, INC",https://www1.nyc.gov/assets/donate/giveandfind/residents/printvendorslist.shtml?Id=804&BId=748,POINT (-73.867302 40.84534000000001),10462,11271,59,5,22,32
47-24 30 Ave,4007290000,4013384,401,Queens,151,22,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.76084,-73.90879,Astoria,FALSE,47-24,862,Publicly Accessible Donation Bins,info@helpsy.co��,877-382-7417,30 Ave,,Helpsy,https://www.helpsy.co/,POINT (-73.908787 40.760836999999995),11103,16860,39,3,4,72
125-01 Rockaway Blvd,4116820000,4252626,410,Queens,178,28,"Clothing, Shoes",40.67562,-73.81275,South Ozone Park,FALSE,125-01,461,Publicly Accessible Donation Bins,info@usagain.com,718-810-2527,Rockaway Blvd,,Usagain LLC,http://www.usagain.com/,POINT (-73.81275 40.67562199999999),11420,24016,62,3,46,64
2066 Rockaway Pkwy,3083280000,3235257,318,Brooklyn,1028,46,"Clothing, Shoes, Accessories",40.63247,-73.88887,Canarsie,FALSE,2066,663,Publicly Accessible Donation Bins,�support@communityrecycling.biz,800-336-0141,Rockaway Pkwy,,Community Recycling LLC,https://www.communityrecycling.biz/,POINT (-73.888871 40.632464),11236,13827,5,2,8,42
1145 Glenmore Ave,3042030000,3094418,305,Brooklyn,1188,37,"Clothing, Shoes",40.67764,-73.8666,Cypress Hills-City Line,FALSE,1145,493,Publicly Accessible Donation Bins,info@usagain.com,718-810-2527,Glenmore Ave,,Usagain LLC,http://www.usagain.com/,POINT (-73.866601 40.677641),11208,17215,45,2,37,47
786 Burke Ave,2045710000,2055645,212,Bronx,340,12,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.87103,-73.86368,Bronxdale,FALSE,786,609,Publicly Accessible Donation Bins,Info@MyCountyRecycling.org,800-261-7099,Burke Ave,,County Recycling LLC,www.mycountyrecycling.org/contact,POINT (-73.863678 40.87103199999999),10467,11605,29,5,2,30
14 E 17th St,1008440000,1016093,105,Manhattan,52,2,The nonprofit Free the Girls accepts gently-used bras at this store location.,40.73737,-73.99148,Hudson Yards-Chelsea-Flatiron-Union Square,TRUE,14,283,Retail Store Takeback Programs,unionsquare@journelle.com,646.649.5359,E 17th St,,Journelle (Union Square),https://freethegirls.org/,POINT (-73.9914806 40.737373599999984),10003,11724,11,4,50,7
910 Richmond Rd,5031680000,5046374,502,Staten Island,50,50,"Clothing, Shoes, Coats, Accessories, Bedding, Towels",40.60457,-74.09231,Grasmere-Arrochar-Ft. Wadsworth,FALSE,910,688,Publicly Accessible Donation Bins,�info@spingreen.com,800-584-0460,Richmond Rd,,"Spin Green, LLC",http://www.spingreen.com/,POINT (-74.092306 40.60457400000001),10304,10691,30,1,14,76
10 Columbus Circle,1010497000,1026318,104,Manhattan,145,3,Contact store for details,40.76855,-73.98318,Lincoln Square,FALSE,10,212,Retail Store Takeback Programs,�onlinesupport@eileenfisher.com,212-823-9575,Columbus Circle,Suite 205,Eileen Fisher,https://www.eileenfisher.com/renew,POINT (-73.983187 40.768553),10019,12081,12,4,10,10
3101 Kingsbridge Terrace,2032570000,2015788,208,Bronx,277,14,"Clothing, Shoes, Bedding And Linens, Coats, Accessories, Rugs, Towels, Fabric",40.87764,-73.90067,Van Cortlandt Village,TRUE,3101,581,Nonprofit Organizations/Thrift Stores,info@khcc-nyc.org,718-884-0700,Kingsbridge Terrace,,Kingsbridge Heights Community Center,https://www1.nyc.gov/assets/donate/giveandfind/residents/printvendorslist.shtml?Id=3445&BId=3417,POINT (-73.900663 40.87763499999999),10463,11272,48,5,29,33
3305 E Tremont Ave,2053320000,2073057,210,Bronx,184,13,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.83517,-73.83095,Schuylerville-Throgs Neck-Edgewater Park,FALSE,3305,1037,Publicly Accessible Donation Bins,info@helpsy.co��,877-382-7417,E Tremont Ave,,Helpsy,https://www.helpsy.co/,POINT (-73.830948 40.83517200000001),10461,11270,43,5,12,28
44-02 Broadway,4007070000,4012368,401,Queens,159,26,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.75726,-73.91579,Astoria,FALSE,Feb-44,879,Publicly Accessible Donation Bins,info@helpsy.co��,877-382-7417,Broadway,,Helpsy,https://www.helpsy.co/,POINT (-73.915786 40.757256000000005),11103,16860,39,3,33,72
162-35 N Conduit Ave,4123180000,4000000,412,Queens,294,31,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.66824,-73.77225,Springfield Gardens North,FALSE,162-35,13,Publicly Accessible Donation Bins,info@helpsy.co��,(646) 660-0719,N Conduit Ave,,HELPSY,https://www.helpsy.co/,POINT (-73.7722449 40.6682344),11434,24669,41,3,47,71
